Rk,Team,G-PK,Age,W,D,L,GD,Pts,GF,WR
1,LSK Kvinner,44,25.3,15,5,2,33,50,51,0.6818181818181818
2,Vålerenga,40,25.2,14,4,4,17,46,41,0.6363636363636364
3,Klepp,47,25.0,14,2,6,29,44,48,0.6363636363636364
4,Sandviken,40,25.3,12,4,6,11,40,43,0.5454545454545454
5,Avaldsnes,36,24.4,9,7,6,7,34,40,0.4090909090909091
6,Røa,35,22.9,7,8,7,5,29,40,0.3181818181818182
7,Trondheims-Ørn,24,21.9,8,5,9,4,29,26,0.36363636363636365
8,Kolbotn,32,21.8,7,6,9,-4,27,35,0.3181818181818182
9,Arna-Bjørnar,26,22.4,6,5,11,-15,23,26,0.2727272727272727
10,Lyn,22,20.1,4,8,10,-14,20,23,0.18181818181818182
11,Stabæk,15,24.7,3,4,15,-27,13,16,0.13636363636363635
12,Fart,13,21.9,2,4,16,-46,10,14,0.09090909090909091
